image,MEL
2020/train/train/ISIC_1361832.jpg,0
2020/train/train/ISIC_7375419.jpg,0
2020/train/train/ISIC_6673669.jpg,0
2020/train/train/ISIC_4908873.jpg,0
2020/train/train/ISIC_6375121.jpg,0
2020/train/train/ISIC_9774132.jpg,0
2020/train/train/ISIC_6294920.jpg,0
2020/train/train/ISIC_3586480.jpg,0
2020/train/train/ISIC_4815277.jpg,0
2020/train/train/ISIC_6235716.jpg,0
2020/train/train/ISIC_0867709.jpg,0
2020/train/train/ISIC_1790549.jpg,0
2020/train/train/ISIC_6443984.jpg,0
2020/train/train/ISIC_5561988.jpg,0
2020/train/train/ISIC_8094833.jpg,0
2020/train/train/ISIC_8924739.jpg,0
2020/train/train/ISIC_8436492.jpg,0
2020/train/train/ISIC_5491443.jpg,0
2020/train/train/ISIC_3810565.jpg,0
2020/train/train/ISIC_7045841.jpg,0
2020/train/train/ISIC_1090614.jpg,0
2020/train/train/ISIC_4508523.jpg,0
2020/train/train/ISIC_3702724.jpg,0
2020/train/train/ISIC_5527572.jpg,0
2020/train/train/ISIC_3700360.jpg,0
2020/train/train/ISIC_4434040.jpg,0
2020/train/train/ISIC_1772037.jpg,0
2020/train/train/ISIC_2259861.jpg,0
2020/train/train/ISIC_4331395.jpg,0
2020/train/train/ISIC_3212050.jpg,0
2020/train/train/ISIC_5462334.jpg,0
2020/train/train/ISIC_2137639.jpg,0
2020/train/train/ISIC_4042490.jpg,0
2020/train/train/ISIC_6192523.jpg,0
2020/train/train/ISIC_5718343.jpg,0
2020/train/train/ISIC_9462738.jpg,0
2020/train/train/ISIC_2011299.jpg,0
2020/train/train/ISIC_7180943.jpg,0
2020/train/train/ISIC_1353668.jpg,0
2020/train/train/ISIC_6669601.jpg,0
2020/train/train/ISIC_3349007.jpg,0
2020/train/train/ISIC_7229814.jpg,0
2020/train/train/ISIC_0488595.jpg,0
2020/train/train/ISIC_5286203.jpg,0
2020/train/train/ISIC_4840770.jpg,0
2020/train/train/ISIC_5584185.jpg,0
2020/train/train/ISIC_7253878.jpg,0
2020/train/train/ISIC_8008177.jpg,0
2020/train/train/ISIC_9631792.jpg,0
2020/train/train/ISIC_6346327.jpg,0
2020/train/train/ISIC_8331438.jpg,0
2020/train/train/ISIC_2120547.jpg,0
2020/train/train/ISIC_2969055.jpg,0
2020/train/train/ISIC_6047070.jpg,0
2020/train/train/ISIC_5912560.jpg,0
2020/train/train/ISIC_3425896.jpg,0
2020/train/train/ISIC_4062586.jpg,0
2020/train/train/ISIC_7145077.jpg,0
2020/train/train/ISIC_2798950.jpg,0
2020/train/train/ISIC_8118363.jpg,0
2020/train/train/ISIC_7539588.jpg,0
2020/train/train/ISIC_9511832.jpg,0
2020/train/train/ISIC_1941920.jpg,0
2020/train/train/ISIC_0876506.jpg,0
2020/train/train/ISIC_6094946.jpg,0
2020/train/train/ISIC_9445441.jpg,0
2020/train/train/ISIC_8566203.jpg,0
2020/train/train/ISIC_7600348.jpg,0
2020/train/train/ISIC_8095966.jpg,0
2020/train/train/ISIC_1077822.jpg,0
2020/train/train/ISIC_9062432.jpg,0
2020/train/train/ISIC_0282040.jpg,0
2020/train/train/ISIC_7430054.jpg,0
2020/train/train/ISIC_9070899.jpg,0
2020/train/train/ISIC_5325810.jpg,0
2020/train/train/ISIC_7405224.jpg,0
2020/train/train/ISIC_8792040.jpg,0
2020/train/train/ISIC_0737125.jpg,0
2020/train/train/ISIC_3277722.jpg,0
2020/train/train/ISIC_1153335.jpg,0
2020/train/train/ISIC_5657310.jpg,0
2020/train/train/ISIC_8820461.jpg,0
2020/train/train/ISIC_9879723.jpg,0
2020/train/train/ISIC_5821131.jpg,0
2020/train/train/ISIC_3820232.jpg,0
2020/train/train/ISIC_2366126.jpg,0
2020/train/train/ISIC_0982855.jpg,0
2020/train/train/ISIC_6113248.jpg,0
2020/train/train/ISIC_8618835.jpg,0
2020/train/train/ISIC_9915927.jpg,0
2020/train/train/ISIC_8429722.jpg,0
2020/train/train/ISIC_6842258.jpg,0
2020/train/train/ISIC_8157972.jpg,0
2020/train/train/ISIC_6550761.jpg,0
2020/train/train/ISIC_3244047.jpg,0
2020/train/train/ISIC_4378584.jpg,0
2020/train/train/ISIC_0154870.jpg,0
2020/train/train/ISIC_3198731.jpg,0
2020/train/train/ISIC_0657123.jpg,0
2020/train/train/ISIC_4068365.jpg,0
2020/train/train/ISIC_5145651.jpg,0
2020/train/train/ISIC_9278100.jpg,0
2020/train/train/ISIC_8314759.jpg,0
2020/train/train/ISIC_5816902.jpg,0
2020/train/train/ISIC_9450628.jpg,0
2020/train/train/ISIC_2754186.jpg,0
2020/train/train/ISIC_5477617.jpg,0
2020/train/train/ISIC_8325569.jpg,0
2020/train/train/ISIC_3784228.jpg,0
2020/train/train/ISIC_3426701.jpg,0
2020/train/train/ISIC_5346135.jpg,0
2020/train/train/ISIC_9278477.jpg,0
2020/train/train/ISIC_5837098.jpg,0
2020/train/train/ISIC_2404779.jpg,0
2020/train/train/ISIC_8931991.jpg,0
2020/train/train/ISIC_7840165.jpg,0
2020/train/train/ISIC_1120241.jpg,0
2020/train/train/ISIC_2751781.jpg,0
2020/train/train/ISIC_4820549.jpg,0
2020/train/train/ISIC_3635644.jpg,0
2020/train/train/ISIC_1513596.jpg,0
2020/train/train/ISIC_3887638.jpg,0
2020/train/train/ISIC_3173572.jpg,0
2020/train/train/ISIC_2031794.jpg,0
2020/train/train/ISIC_3065175.jpg,0
2020/train/train/ISIC_4585372.jpg,0
2020/train/train/ISIC_1503257.jpg,0
2020/train/train/ISIC_6542162.jpg,0
2020/train/train/ISIC_0404479.jpg,0
2020/train/train/ISIC_3901747.jpg,0
2020/train/train/ISIC_5667707.jpg,0
2020/train/train/ISIC_9910101.jpg,0
2020/train/train/ISIC_2341875.jpg,1
2020/train/train/ISIC_2566319.jpg,0
2020/train/train/ISIC_2337907.jpg,1
2020/train/train/ISIC_9368994.jpg,0
2020/train/train/ISIC_7828320.jpg,0
2020/train/train/ISIC_5877410.jpg,0
2020/train/train/ISIC_1967178.jpg,0
2020/train/train/ISIC_7383915.jpg,0
2020/train/train/ISIC_7509837.jpg,0
2020/train/train/ISIC_5739829.jpg,0
2020/train/train/ISIC_0207268.jpg,1
2020/train/train/ISIC_1162337.jpg,1
2020/train/train/ISIC_9461953.jpg,0
2020/train/train/ISIC_5146245.jpg,0
2020/train/train/ISIC_7825897.jpg,0
2020/train/train/ISIC_1521135.jpg,0
2020/train/train/ISIC_6668308.jpg,0
2020/train/train/ISIC_2901680.jpg,0
2020/train/train/ISIC_2013861.jpg,0
2020/train/train/ISIC_0667108.jpg,0
2020/train/train/ISIC_3389551.jpg,0
2020/train/train/ISIC_0267586.jpg,0
2020/train/train/ISIC_9112747.jpg,0
2020/train/train/ISIC_9870885.jpg,1
2020/train/train/ISIC_5142496.jpg,0
2020/train/train/ISIC_7168122.jpg,0
2020/train/train/ISIC_9853051.jpg,0
2020/train/train/ISIC_4726177.jpg,0
2020/train/train/ISIC_4443776.jpg,0
2020/train/train/ISIC_9026091.jpg,0
2020/train/train/ISIC_8986314.jpg,0
2020/train/train/ISIC_8413505.jpg,0
2020/train/train/ISIC_4384341.jpg,0
2020/train/train/ISIC_4435776.jpg,0
2020/train/train/ISIC_8775575.jpg,0
2020/train/train/ISIC_4229473.jpg,1
2020/train/train/ISIC_4087851.jpg,0
2020/train/train/ISIC_4826839.jpg,0
2020/train/train/ISIC_9187760.jpg,0
2020/train/train/ISIC_4833061.jpg,0
2020/train/train/ISIC_6384927.jpg,0
2020/train/train/ISIC_0765568.jpg,0
2020/train/train/ISIC_8023861.jpg,0
2020/train/train/ISIC_1706950.jpg,0
